Name,Subtitle,Acceleration,TopSpeed,Efficiency,FastChargeSpeed,Drive,NumberofSeats,PriceinGermany,PriceinUK
Tesla Model X Plaid,Battery Electric Vehicle |       90 kWh ,2.6,262,198,680.0,All Wheel Drive,7,116990.0,110980.0
Mini Cooper SE ,Battery Electric Vehicle |       28.9 kWh,7.3,150,156,260.0,Front Wheel Drive,4,32500.0,26000.0
JAC iEV7s ,Battery Electric Vehicle |       39 kWh,12.0,132,173,160.0,Front Wheel Drive,5,,
Volkswagen ID.4 Pure Performance,Battery Electric Vehicle |       52 kWh,9.0,160,182,410.0,Rear Wheel Drive,5,38450.0,36030.0
Audi e-tron GT quattro,Battery Electric Vehicle |       85 kWh,4.1,245,202,840.0,All Wheel Drive,4,99800.0,79900.0
Volvo C40 Recharge,Battery Electric Vehicle |       75 kWh,4.7,180,221,440.0,All Wheel Drive,5,62050.0,57400.0
Hyundai Kona Electric 39 kWh,Battery Electric Vehicle |       39.2 kWh,9.9,155,157,210.0,Front Wheel Drive,5,35650.0,27950.0
Hyundai Kona Electric 64 kWh,Battery Electric Vehicle |       64 kWh,7.9,167,162,370.0,Front Wheel Drive,5,41850.0,32550.0
Porsche Taycan 4S Cross Turismo,Battery Electric Vehicle |       83.7 kWh,4.1,240,207,850.0,All Wheel Drive,4,111842.0,87820.0
Porsche Taycan Turbo Cross Turismo,Battery Electric Vehicle |       83.7 kWh,3.3,250,217,800.0,All Wheel Drive,4,154444.0,116950.0
Porsche Taycan Turbo S Cross Turismo,Battery Electric Vehicle |       83.7 kWh,2.9,250,220,790.0,All Wheel Drive,4,187746.0,139910.0
Kia EV6 GT,Battery Electric Vehicle |       77.4 kWh ,3.5,260,196,920.0,All Wheel Drive,5,65990.0,58295.0
BMW iX xDrive40,Battery Electric Vehicle |       71 kWh,6.1,200,203,470.0,All Wheel Drive,5,77300.0,69905.0
BMW iX xDrive50,Battery Electric Vehicle |       105.2 kWh,4.6,200,208,620.0,All Wheel Drive,5,98000.0,91905.0
MG MG5 Electric,Battery Electric Vehicle |       57 kWh ,8.3,180,168,440.0,Front Wheel Drive,5,35000.0,
MG Marvel R Performance,Battery Electric Vehicle |       65 kWh ,4.9,200,197,380.0,All Wheel Drive,5,50000.0,
Hyundai IONIQ 5 Standard Range 2WD,Battery Electric Vehicle |       58 kWh ,8.5,185,187,720.0,Rear Wheel Drive,5,41900.0,36995.0
Hyundai IONIQ 5 Standard Range AWD,Battery Electric Vehicle |       58 kWh ,6.1,185,190,710.0,All Wheel Drive,5,45700.0,
Hyundai IONIQ 5 Long Range 2WD,Battery Electric Vehicle |       72.6 kWh ,7.4,185,189,890.0,Rear Wheel Drive,5,45100.0,41945.0
Hyundai IONIQ 5 Long Range AWD,Battery Electric Vehicle |       72.6 kWh ,5.2,185,194,870.0,All Wheel Drive,5,48900.0,45145.0
Kia EV6 Standard Range 2WD,Battery Electric Vehicle |       58 kWh ,8.5,185,181,740.0,Rear Wheel Drive,5,44990.0,40985.0
Kia EV6 Long Range 2WD,Battery Electric Vehicle |       77.4 kWh ,7.5,185,184,980.0,Rear Wheel Drive,5,54990.0,48000.0
Kia EV6 Long Range AWD,Battery Electric Vehicle |       77.4 kWh ,5.4,185,189,950.0,All Wheel Drive,5,56000.0,52000.0
Mercedes EQS 450+,Battery Electric Vehicle |       107.8 kWh,6.2,210,168,840.0,Rear Wheel Drive,5,106374.0,95000.0
